subject CURIE prefix	object CURIE prefix	predicate	edge count
SGD	SO	biolink:subclass_of	6439
WormBase	WormBase	biolink:interacts_with	45129
GENO	UPHENO	biolink:object	1
ClinVarVariant	GENO	biolink:related_to	190
WormBase	http	biolink:related_to	133
dbSNP	EFO	biolink:related_to	163561
RGD	Xenbase	biolink:related_to	10129
RGD	GO	biolink:enables	61929
ECO	ECO	biolink:has_part	11
MONARCH_BNODE	HP	biolink:related_to	45
SEPIO	SEPIO	biolink:subPropertyOf	14
AspGD	GO	biolink:enables	272945
RO	GENO	biolink:subPropertyOf	6
GO	CL	biolink:overlaps	27
KEGG-path	GO	biolink:subclass_of	537
VGNC	SGD	biolink:related_to	4
FAO	FAO	biolink:part_of	4
MONARCH_BNODE	EFO	biolink:related_to	3375
http	foaf	biolink:subclass_of	7
RO	RO	biolink:subPropertyOf	626
GO	GO	biolink:overlaps	26
ZP	UBERON	biolink:subclass_of	5407
RGD	MP	biolink:has_phenotype	1009
NCBIGene	OBO	biolink:related_to	578172
DOID	HP	biolink:subclass_of	12
https	https	biolink:biomarker_for	97442
ZFIN	GENO	biolink:subclass_of	15
VGNC	WormBase	biolink:related_to	1
FlyBase	GO	biolink:enables	22788
Xenbase	FlyBase	biolink:orthologous_to	9546
JAX	MONARCH_BNODE	biolink:related_to	114
OBI	CL	biolink:related_to	5
Orphanet	HP	biolink:subclass_of	7
NCBITaxon	OBO	biolink:subclass_of	31
HP	CL	biolink:subclass_of	116
OBI	RO	biolink:subPropertyOf	6
ZFIN	GO	biolink:actively_involved_in	65188
HGNC	MONARCH_BNODE	biolink:has_sequence_location	10886
OBI	GO	biolink:related_to	3
GENO	NCBITaxon	biolink:in_taxon	3
OBI	OBO	biolink:has_part	3
MONARCH_NODE	WormBase	biolink:related_to	7
HP	GO	biolink:subclass_of	211
PMID	KEGG-path	biolink:related_to	6336
HGNC	ENSEMBL	biolink:same_as	1507
CL	CL	biolink:derives_from	1
MP	owl	biolink:subclass_of	441
OBO	OBI	biolink:subclass_of	29
chickenQTL	NCBIGene	biolink:biomarker_for	6461
CL	CL	biolink:related_to	411
MONARCH	HGNC	biolink:model_of	1
NCBIGene	pigQTL	biolink:biomarker_for	107
CL	GO	biolink:related_to	149
BSPO	BSPO	biolink:related_to	7
NCBIGene	dictyBase	biolink:orthologous_to	399
WormBase	WBPhenotype	biolink:has_phenotype	106355
FlyBase	UBERON	biolink:expressed_in	52120
GeneReviews	DOID	biolink:subclass_of	737
KEGG-ko	DATA	biolink:subclass_of	23530
NCBIGene	SGD	biolink:orthologous_to	142
NCBIGene	NCBIGene	biolink:related_to	64258
MP	UPHENO	biolink:subclass_of	2
wgs	owl	biolink:subclass_of	1
OMIA	CL	biolink:has_phenotype	3
SGD	GO	biolink:part_of	23564
CL	GO	biolink:produces	15
CHEBI	GO	biolink:has_phenotype	10
HGNC	HGNC	biolink:has_gene_product	2
OBO	NCIT	biolink:subclass_of	18537
CHEBI	SO	biolink:subclass_of	26
NCBIGene	OMIMPS	biolink:related_to	6
HGNC	ENSEMBL	biolink:orthologous_to	82378
CHEBI	BFO	biolink:subclass_of	7
GENO	BFO	biolink:subPropertyOf	4
OBO	OBO	biolink:has_output	1
WormBase	PomBase	biolink:related_to	2261
OMIA	GO	biolink:has_phenotype	11
MGI	VGNC	biolink:related_to	8
VGNC	FlyBase	biolink:related_to	7
CHEBI	CHEBI	biolink:subclass_of	192269
NCBIGene	NCBIGene	biolink:biomarker_for	22754
NCBIGene	WormBase	biolink:orthologous_to	986
BSPO	OBO	biolink:related_to	1
WormBase	GO	biolink:actively_involved_in	34343
MGI	Xenbase	biolink:related_to	10621
ENVO	ENVO	biolink:has_output	14
PR	FlyBase	biolink:related_to	7
CLO	CLO	biolink:subclass_of	38837
GO	PR	biolink:has_part	2
NCBITaxon	OBI	biolink:subclass_of	1
ENSEMBL	ENSEMBL	biolink:orthologous_to	573072
ENVO	UBERON	biolink:related_to	1
CL	OBO	biolink:has_part	29
ECO	OBO	biolink:related_to	2
BIOGRID	HGNC	biolink:same_as	26
UMLS	Orphanet	biolink:subclass_of	15436
FBcv	owl	biolink:subclass_of	1
GO	CL	biolink:part_of	153
Coriell	CLO	biolink:derives_from	119
OBI	OBI	biolink:has_part	54
MP	ZP	biolink:subclass_of	553
MONARCH_BNODE	NCIT	biolink:has_part	164
SGD	MONARCH_NODE	biolink:has_phenotype	60168
SO	GENO	biolink:has_part	1
MONARCH_BNODE	https	biolink:related_to	75558
OBI	CL	biolink:derives_from	1
GO	GO	biolink:part_of	9112
MESH	OMIM	biolink:biomarker_for	11
WormBase	UBERON	biolink:expressed_in	25331
MONARCH	dbSNP	biolink:related_to	13167
HGNC	EcoGene	biolink:related_to	287
CL	GO	biolink:capable_of	361
ENVO	BFO	biolink:related_to	1
RGD	UniProtKB	biolink:has_gene_product	606
FBcv	UPHENO	biolink:subclass_of	1
ENVO	CHEBI	biolink:related_to	17
ZFIN	ZFIN	biolink:genetically_interacts_with	17
FlyBase	MGI	biolink:interacts_with	3
GO	UBERON	biolink:related_to	1243
PR	OBO	biolink:has_part	7
MONARCH_BNODE	OMIM	biolink:contributes_to	51
HP	http	biolink:related_to	400
RGD	ZFIN	biolink:orthologous_to	18674
PANTHER	EcoGene	biolink:related_to	631
UBERON	OBO	biolink:subclass_of	460
OBO	OGMS	biolink:related_to	1
MONARCH_BNODE	PMID	biolink:related_to	302498
Xenbase	NCBIGene	biolink:orthologous_to	249
OBAN	IAO	biolink:subclass_of	1
ZFIN	EcoGene	biolink:orthologous_to	1069
Xenbase	PomBase	biolink:related_to	2173
UBERON	GO	biolink:capable_of	124
UMLS	OBO	biolink:subclass_of	31149
FlyBase	UniProtKB	biolink:has_gene_product	2587
NCBIGene	FlyBase	biolink:orthologous_to	1101
Orphanet	HP	biolink:related_to	69
MONARCH_BNODE	dbSNPIndividual	biolink:related_to	2961
