subject CURIE prefix	object CURIE prefix	predicate	edge count
MONDO	SO	biolink:related_to	1138140
CHEBI	MOP	biolink:related_to	102304
MOP	UBERON	biolink:related_to	24664
MONDO	NCBITaxon	biolink:related_to	1313061
CHEBI	HP	biolink:related_to	1666319
HP	UBERON	biolink:related_to	1195221
MONDO	MONDO	biolink:related_to	4358876
CL	UBERON	biolink:related_to	465319
PR	PR	biolink:related_to	2616847
CHEBI	CL	biolink:related_to	1056654
CL	NCBITaxon#	biolink:related_to	14
GO	UBERON	biolink:related_to	2398348
NCBITaxon	UBERON	biolink:related_to	706563
GO	NCBITaxon#	biolink:related_to	1
NCBITaxon#	NCBITaxon	biolink:related_to	10
MOP	MOP	biolink:related_to	769
HP	MOP	biolink:related_to	17148
CL	MOP	biolink:related_to	10217
MONDO	PR	biolink:related_to	5623765
HP	HP	biolink:related_to	594487
CHEBI	SO	biolink:related_to	1105945
GO	MOP	biolink:related_to	81244
CL	HP	biolink:related_to	261760
SO	UBERON	biolink:related_to	427808
CHEBI	NCBITaxon	biolink:related_to	2024568
CL	CL	biolink:related_to	95616
CHEBI	GO	biolink:related_to	7062269
CHEBI	MONDO	biolink:related_to	6055640
GO	HP	biolink:related_to	1401647
UBERON	UBERON	biolink:related_to	1068014
PR	UBERON	biolink:related_to	2584357
NCBITaxon#	PR	biolink:related_to	3
MOP	SO	biolink:related_to	12108
CHEBI	CHEBI	biolink:related_to	5405491
HP	SO	biolink:related_to	358148
MOP	NCBITaxon	biolink:related_to	18847
CL	SO	biolink:related_to	159279
HP	NCBITaxon	biolink:related_to	387407
CHEBI	PR	biolink:related_to	7199237
CL	NCBITaxon	biolink:related_to	237330
HP	MONDO	biolink:related_to	2922545
GO	SO	biolink:related_to	1237576
CL	MONDO	biolink:related_to	942228
CL	GO	biolink:related_to	1051790
MONDO	UBERON	biolink:related_to	3459772
GO	NCBITaxon	biolink:related_to	1786461
NCBITaxon	SO	biolink:related_to	410701
GO	MONDO	biolink:related_to	5135667
GO	GO	biolink:related_to	3631022
MONDO	NCBITaxon#	biolink:related_to	5
NCBITaxon	NCBITaxon	biolink:related_to	406814
MOP	PR	biolink:related_to	117278
SO	SO	biolink:related_to	126269
MONDO	MOP	biolink:related_to	63154
HP	PR	biolink:related_to	1384046
CL	PR	biolink:related_to	1274878
GO	PR	biolink:related_to	6790146
PR	SO	biolink:related_to	1853926
NCBITaxon	PR	biolink:related_to	2034974
CHEBI	UBERON	biolink:related_to	2819717
