subject CURIE prefix	object CURIE prefix	predicate	edge count
PR	GO	biolink:located_in	2
PR	CHEBI	biolink:non_covalently_bound_to*	7
PR	CGNC	biolink:has_gene_template*	545
EcoGene	NCBITaxon	biolink:in_taxon	4046
PR	MOD	biolink:has_part	5385
PR	MOD	biolink:has_component*	5
PR	UniProtKB	biolink:same_as	170034
PomBase	SO	biolink:subClassOf	5124
WormBase	SO	biolink:subClassOf	4518
PR	EnsembleBacteria	biolink:has_gene_template*	984
PR	PR	biolink:lacks_part*	3181
CHEBI	PR	biolink:subClassOf	21
PR	MOD	biolink:subClassOf	3
PR	RGD	biolink:has_gene_template*	8136
SO	SO	biolink:subClassOf	3
PR	MGI	biolink:has_gene_template*	16873
PR	CL	biolink:part_of	9
SO	BFO	biolink:subClassOf	1
PR	FlyBase	biolink:has_gene_template*	3965
EnsemblGene	NCBITaxon	biolink:in_taxon	278
TAIR	NCBITaxon	biolink:in_taxon	15986
PR	NCBITaxon	biolink:in_taxon	178406
CGNC	SO	biolink:subClassOf	545
dictyBase	SO	biolink:subClassOf	4545
NCBIGene	SO	biolink:subClassOf	5379
BFO	BFO	biolink:subClassOf	2
EnsembleBacteria	SO	biolink:subClassOf	984
Ensembl	NCBITaxon	biolink:in_taxon	138
PR	PomBase	biolink:has_gene_template*	5172
PR	dictyBase	biolink:has_gene_template*	4545
FlyBase	NCBITaxon	biolink:in_taxon	3965
OBI	BFO	biolink:subClassOf	1
PR	GO	biolink:part_of	9
PR	GO	biolink:capable_of	25
HGNC	SO	biolink:subClassOf	19818
PR	SGD	biolink:has_gene_template*	5940
PR	PR	biolink:has_part	153
PR	PR	biolink:has_component*	1491
CL	CL	biolink:subClassOf	1
PR	PR	biolink:subClassOf	339987
MOD	MOD	biolink:subClassOf	152
PR	NCBIGene	biolink:has_gene_template*	5456
EcoGene	SO	biolink:subClassOf	4046
PR	SO	biolink:lacks_part*	3248
PR	GO	biolink:participates_in	3
SGD	SO	biolink:subClassOf	5938
TAIR	SO	biolink:subClassOf	15986
PR	GO	biolink:output_of*	808
MGI	NCBITaxon	biolink:in_taxon	16873
CHEBI	BFO	biolink:subClassOf	1
PR	WormBase	biolink:has_gene_template*	4518
WormBase	NCBITaxon	biolink:in_taxon	4518
PR	PR	biolink:has_gene_template*	44
CHEBI	CHEBI	biolink:subClassOf	36
EnsemblGene	SO	biolink:subClassOf	278
PR	PR	biolink:derives_from	57
RGD	NCBITaxon	biolink:in_taxon	8136
MOD	PR	biolink:subClassOf	62
PomBase	NCBITaxon	biolink:in_taxon	5124
dictyBase	NCBITaxon	biolink:in_taxon	4545
PR	SO	biolink:has_part	6
FlyBase	SO	biolink:subClassOf	3965
PR	SO	biolink:subClassOf	45
HGNC	NCBITaxon	biolink:in_taxon	19818
SO	PR	biolink:subClassOf	3
PR	GO	biolink:subClassOf	382
PR	BFO	biolink:subClassOf	1
PR	ZFIN	biolink:has_gene_template*	3339
CGNC	NCBITaxon	biolink:in_taxon	545
GO	GO	biolink:subClassOf	131
GO	BFO	biolink:subClassOf	2
PR	CHEBI	biolink:has_part	2
PR	Ensembl	biolink:has_gene_template*	138
ZFIN	NCBITaxon	biolink:in_taxon	3339
EnsembleBacteria	NCBITaxon	biolink:in_taxon	984
NCBITaxon	NCBITaxon	biolink:subClassOf	686
PR	CHEBI	biolink:has_component*	123
PR	MOD	biolink:lacks_part*	48
PR	CHEBI	biolink:subClassOf	24
ZFIN	SO	biolink:subClassOf	3339
PR	PR	biolink:part_of	1
PR	HGNC	biolink:has_gene_template*	19818
Ensembl	SO	biolink:subClassOf	138
MGI	SO	biolink:subClassOf	16873
NCBIGene	NCBITaxon	biolink:in_taxon	5379
SGD	NCBITaxon	biolink:in_taxon	5938
RGD	SO	biolink:subClassOf	8136
PR	SO	biolink:has_gene_template*	1
PR	EcoGene	biolink:has_gene_template*	4047
NCBITaxon	OBI	biolink:subClassOf	4
SO	SO	biolink:has_quality*	1
PR	TAIR	biolink:has_gene_template*	15989
PR	EnsemblGene	biolink:has_gene_template*	278
